gorModel;score;value;windowsize
gor1;SOV_H mean;54.6;13
gor1;SOV_E mean;58.2;13
gor1;SOV_H mean;53.4;15
gor1;SOV_E mean;58.9;15
gor1;SOV_H mean;51.0;21
gor1;SOV_E mean;57.6;21
gor1;SOV_H mean;49.3;23
gor1;SOV_E mean;56.4;23
gor1;SOV_H mean;42.7;31
gor1;SOV_E mean;51.3;31
gor3;SOV_H mean;43.8;13
gor3;SOV_E mean;50.3;13
gor3;SOV_H mean;42.9;15
gor3;SOV_E mean;51.0;15
gor3;SOV_H mean;41.5;21
gor3;SOV_E mean;48.5;21
gor3;SOV_H mean;40.5;23
gor3;SOV_E mean;48.2;23
gor3;SOV_H mean;36.8;31
gor3;SOV_E mean;43.5;31
gor4;SOV_H mean;66.7;13
gor4;SOV_E mean;6.2;13
gor4;SOV_H mean;66.6;15
gor4;SOV_E mean;5.4;15
gor4;SOV_H mean;64.9;21
gor4;SOV_E mean;3.0;21
gor4;SOV_H mean;63.8;23
gor4;SOV_E mean;2.5;23
gor4;SOV_H mean;57.9;31
gor4;SOV_E mean;1.2;31
gor5_1;SOV_H mean;58.2;13
gor5_1;SOV_E mean;62.9;13
gor5_1;SOV_H mean;57.5;15
gor5_1;SOV_E mean;63.1;15
gor5_1;SOV_H mean;53.6;21
gor5_1;SOV_E mean;61.4;21
gor5_1;SOV_H mean;52.2;23
gor5_1;SOV_E mean;60.1;23
gor5_1;SOV_H mean;46.2;31
gor5_1;SOV_E mean;54.8;31
gor5_3;SOV_H mean;50.6;13
gor5_3;SOV_E mean;55.6;13
gor5_3;SOV_H mean;49.6;15
gor5_3;SOV_E mean;55.6;15
gor5_3;SOV_H mean;48.8;21
gor5_3;SOV_E mean;52.4;21
gor5_3;SOV_H mean;47.4;23
gor5_3;SOV_E mean;51.4;23
gor5_3;SOV_H mean;43.3;31
gor5_3;SOV_E mean;34.7;31
gor5_4;SOV_H mean;63.8;13
gor5_4;SOV_E mean;1.3;13
gor5_4;SOV_H mean;63.7;15
gor5_4;SOV_E mean;1.0;15
gor5_4;SOV_H mean;62.2;21
gor5_4;SOV_E mean;0.6;21
gor5_4;SOV_H mean;61.1;23
gor5_4;SOV_E mean;0.5;23
gor5_4;SOV_H mean;55.7;31
gor5_4;SOV_E mean;0.2;31
